This file was generated by Console at 2015:03:25-16:58:57



[2015:03:25-18:04:06]  (Local) -> (LOCAL)[1][NG]xXMADEXx: been scripting for years
[2015:03:25-18:04:21]  (Local) -> (LOCAL)[1][NG]Aniis: shit
[2015:03:25-18:04:27]  (Local) -> (LOCAL)[1][NG]Aniis: i wanna Be like you
[2015:03:25-18:04:53]  (Local) -> (LOCAL)[1][NG]xXMADEXx: idk what to do
[2015:03:25-18:04:56]  (Local) -> (LOCAL)[1][NG]Aniis: i always See your Post in mta forum
[2015:03:25-18:05:00]  (Local) -> (LOCAL)[1][NG]xXMADEXx: ye
[2015:03:25-18:05:15]  (Local) -> (LOCAL)[1][NG]Aniis: only you and castillo help Players xD
[2015:03:25-18:05:22]  (Local) -> (LOCAL)[1][NG]xXMADEXx: lol
[2015:03:25-18:05:27]  (Local) -> (LOCAL)[1][NG]xXMADEXx: castillo is by bitch <3
[2015:03:25-18:05:35]  (Local) -> (LOCAL)[1][NG]xXMADEXx: we always troll people on SAUR xD
[2015:03:25-18:05:44]  (Local) -> (LOCAL)[1][NG]Aniis: i'am Player From saur
[2015:03:25-18:05:49]  (Local) -> (LOCAL)[1][NG]xXMADEXx: i used to be
[2015:03:25-18:05:51]  (Local) -> (LOCAL)[1][NG]Aniis: i have 1300 Hours ther
[2015:03:25-18:05:53]  (Local) -> (LOCAL)[1][NG]xXMADEXx: by dwayne fkn hates me xD
[2015:03:25-18:06:13]  (Local) -> (LOCAL)[1][NG]Aniis: castillo rich
[2015:03:25-18:06:29]  (Local) -> (LOCAL)[1][NG]Aniis: that bitches Donate 1000 Dollar +
[2015:03:25-18:06:38]  (Local) -> (LOCAL)[1][NG]xXMADEXx: he made a web browser IG for mta lol
[2015:03:25-18:06:40]  (Local) -> (LOCAL)[1][NG]xXMADEXx: i made one too <3
[2015:03:25-18:06:42]  (Global) -> [NG]xXMADEXx: :3
[2015:03:25-18:06:58]  (Global) -> [NG]Aniis: :o
[2015:03:25-18:07:20]  (Local) -> (LOCAL)[1][NG]Aniis: no plz
[2015:03:25-18:07:27]  (Local) -> (LOCAL)[1][NG]xXMADEXx: testing if this thing even works lol
[2015:03:25-18:07:30]  (Local) -> (LOCAL)[1][NG]Aniis: nooo i don't have rugs
[2015:03:25-18:07:33]  (Local) -> (LOCAL)[1][NG]Aniis: drugs
[2015:03:25-18:07:46]  (Local) -> (LOCAL)[1][NG]Aniis: just cocayen
[2015:03:25-18:07:53]  (Global) -> [NG]xXMADEXx: $4
[2015:03:25-18:07:55]  (Global) -> [NG]xXMADEXx: lol
[2015:03:25-18:08:00]  (Global) -> [NG]Aniis: 2 secound lol
[2015:03:25-18:08:12]  (Global) -> [NG]xXMADEXx: u got VIP?
[2015:03:25-18:08:18]  (Local) -> (LOCAL)[1][NG]Aniis: yes soory for that
[2015:03:25-18:08:21]  (Local) -> (LOCAL)[1][NG]xXMADEXx: idc lol
[2015:03:25-18:08:22]  (Local) -> (LOCAL)[1][NG]Aniis: i was try
[2015:03:25-18:09:11]  (Global) -> [NG]xXMADEXx: diamond now
[2015:03:25-18:09:14]  (Local) -> (LOCAL)[1][NG]Aniis: wow
[2015:03:25-18:09:17]  (Local) -> (LOCAL)[1][NG]Aniis: thnx
[2015:03:25-18:09:35]  (Local) -> (LOCAL)[1][NG]Aniis: in my server /am don't work
[2015:03:25-18:09:39]  (Local) -> (LOCAL)[1][NG]Aniis: he show me this error
[2015:03:25-18:09:40]  (Global) -> [NG]xXMADEXx: why
[2015:03:25-18:09:57]  (Global) -> [NG]Aniis: i send in skype
[2015:03:25-18:10:17]  (Local) -> (LOCAL)[1][NG]xXMADEXx: hm
[2015:03:25-18:10:27]  (Local) -> (LOCAL)[1][NG]xXMADEXx: did you remove a file from the meta?
[2015:03:25-18:10:32]  (Local) -> (LOCAL)[1][NG]Aniis: no
[2015:03:25-18:10:35]  (Global) -> [NG]xXMADEXx: skype
[2015:03:25-18:11:02]  (Local) -> (LOCAL)[1][NG]xXMADEXx: wtf
[2015:03:25-18:11:36]  (Global) -> [NG]xXMADEXx: fuck wrong turn
[2015:03:25-18:11:43]  (Global) -> [NG]Aniis: lol
[2015:03:25-18:11:55]  (Global) -> [NG]Aniis: shit
[2015:03:25-18:12:25]  (Global) -> [NG]xXMADEXx: u a good mapper?
[2015:03:25-18:12:29]  (Global) -> [NG]Aniis: yes
[2015:03:25-18:13:51]  (Global) -> [NG]xXMADEXx: wanna make a race track?
[2015:03:25-18:14:10]  (Global) -> [NG]Aniis: yes
